Mnemonic,1,2,3,4,5,6,7,8
acacme,5,6,11,12,10,21,47,41
acaldi,1562,1200,817,523,488,741,1019,1439
acalma,79,66,44,42,43,52,52,62
ade1tr,346,315,280,219,163,143,143,120
aegipa,136,126,92,77,62,44,40,26
alchco,385,314,266,228,229,229,319,266
alchla,2,2,3,2,1,1,1,NA
alibed,304,342,378,379,357,372,417,455
allops,175,171,153,123,112,103,112,97
alsebl,7598,8050,8412,8175,7869,7752,7928,8064
amaico,29,29,29,27,25,22,19,19
anacex,28,26,24,25,24,25,26,24
anaxpa,471,474,588,698,748,794,883,892
andiin,317,306,305,300,283,276,256,247
annoac,506,523,567,543,499,486,500,492
annoha,1,1,1,1,NA,NA,NA,NA
annosp,57,71,142,176,133,122,148,84
apeihy,1,1,NA,NA,NA,NA,NA,NA
apeime,388,341,329,292,270,289,307,261
apeiti,45,39,32,29,30,38,50,44
aphesi,13,10,7,7,6,8,8,10
appuse,1,1,3,3,3,2,2,4
ardiba,3,3,1,3,6,5,7,6
ardife,74,77,82,86,98,103,113,133
ardigu,22,16,18,20,19,18,16,19
aspicr,451,471,486,476,481,471,473,491
ast1st,248,232,221,205,188,165,152,133
ast2gr,70,64,71,80,79,99,117,132
bactba,111,55,20,9,5,5,5,4
bactc1,241,84,23,8,3,2,11,54
bactc2,38,17,6,2,NA,NA,NA,NA
bactma,469,355,217,176,103,80,111,94
banagu,NA,NA,4,5,1,NA,NA,NA
beilpe,2375,2667,2748,2589,2319,2112,1995,1891
bertgu,2,2,1,1,NA,NA,NA,NA
boropa,1,1,1,1,1,1,1,NA
brosal,860,892,920,907,896,891,870,857
brosgu,6,6,6,6,5,5,4,4
calolo,647,720,891,1000,1131,1427,1821,2174
cappfr,3536,3674,3546,3301,2991,2751,2402,2222
carica,NA,NA,NA,NA,NA,NA,2,NA
caseac,470,479,483,450,422,434,454,466
casear,271,226,189,158,141,126,131,104
caseco,21,23,21,21,21,24,23,21
casegu,15,17,19,19,16,14,13,12
casesy,246,232,211,180,151,131,127,127
cassel,766,850,945,992,1011,1073,1108,1097
cavapl,25,23,25,23,23,26,37,38
cecrin,513,441,398,377,714,1143,889,1371
cecrlo,NA,NA,NA,1,12,14,13,9
cecrob,61,38,48,50,102,236,263,297
cedrod,5,2,9,6,8,10,12,8
ceibpe,72,67,61,48,53,64,61,64
celtsc,183,167,149,135,123,115,108,106
cespma,7,5,5,4,2,2,2,2
cestme,309,237,157,82,50,54,44,80
cestra,NA,NA,NA,NA,NA,NA,NA,4
cha1te,32,22,16,12,10,7,4,3
cha2sc,194,239,289,325,382,450,542,576
chimpa,3,4,3,3,3,3,3,3
chr1ec,458,436,421,404,399,391,405,412
chr2ar,429,482,688,711,675,672,713,740
chr2ca,68,79,109,128,134,147,171,177
clidde,8,14,17,5,13,17,33,44
clidoc,3,6,9,6,12,12,10,7
clidse,1,2,NA,NA,1,3,NA,1
cnempe,8,3,1,NA,NA,NA,NA,NA
coccco,181,191,185,144,115,112,138,131
coccma,445,446,469,456,402,371,351,326
colugl,2,1,1,2,4,1,4,3
conobr,4,4,3,2,10,5,7,5
conoci,389,279,207,153,124,98,102,83
cordal,111,108,118,107,94,147,189,221
cordbi,716,758,1043,966,764,657,681,729
cordla,1703,1670,1695,1543,1286,1174,1144,1077
cou2cu,1508,1668,1971,2042,2078,2061,2014,1962
couthe,2,2,2,2,2,3,3,3
crotbi,621,621,1013,561,358,467,631,630
cupaci,6,8,13,10,7,11,12,19
cupala,56,49,52,45,43,46,57,70
cuparu,56,73,97,110,95,92,103,124
cupasy,959,1038,1141,1172,1207,1209,1271,1338
