Latin	Family	Authority	1982	1985	1990	1995	2000	2005	2010	2015
Vachellia melanoceras	Fabaceae	(Beurl.) Seigler & Ebinger	5	6	11	12	10	21	47	41
Acalypha diversifolia	Euphorbiaceae	Jacq.	1562	1200	817	523	488	741	1019	1439
Acalypha macrostachya	Euphorbiaceae	Jacq.	79	66	44	42	43	52	52	62
Adelia triloba	Euphorbiaceae	(Müll.Arg.) Hemsl.	346	315	280	219	163	143	143	120
Aegiphila panamensis	Lamiaceae	Moldenke	136	126	92	77	62	44	40	26
Alchornea costaricensis	Euphorbiaceae	Pax & K.Hoffm.	385	314	266	228	229	229	319	266
Alchornea latifolia	Euphorbiaceae	Sw.	2	2	3	2	1	1	1	0
Alibertia edulis	Rubiaceae	(Rich.) A.Rich. ex DC.	304	342	378	379	357	372	417	455
Allophylus psilospermus	Sapindaceae	Radlk.	175	171	153	123	112	103	112	97
Alseis blackiana	Rubiaceae	Hemsl.	7598	8050	8412	8175	7869	7752	7928	8064
Amaioua corymbosa	Rubiaceae	Kunth	29	29	29	27	25	22	19	19
Anacardium excelsum	Anacardiaceae	(Bertero & Balb. ex Kunth) Skeels	28	26	24	25	24	25	26	24
Anaxagorea panamensis	Annonaceae	Standl.	471	474	588	698	748	794	883	892
Andira inermis	Fabaceae	(W. Wright) Kunth ex DC.	317	306	305	300	283	276	256	247
Annona acuminata	Annonaceae	Saff.	506	523	567	543	499	486	500	492
Annona hayesii	Annonaceae	Saff.	1	1	1	1	0	0	0	0
Annona spraguei	Annonaceae	Saff.	57	71	142	176	133	122	148	84
Apeiba hybrid	Malvaceae		1	1	0	0	0	0	0	0
Apeiba membranacea	Malvaceae	Spruce ex Benth.	388	341	329	292	270	289	307	261
Apeiba tibourbou	Malvaceae	Aubl.	45	39	32	29	30	38	50	44
Aphelandra sinclairiana	Acanthaceae	Nees	13	10	7	7	6	8	8	10
Appunia seibertii	Rubiaceae	Standl.	1	1	3	3	3	2	2	4
Ardisia bartlettii	Myrsinaceae	Lundell	3	3	1	3	6	5	7	6
Ardisia standleyana	Myrsinaceae	P.H.Allen	74	77	82	86	98	103	113	133
Ardisia guianensis	Myrsinaceae	(Aubl.) Mez	22	16	18	20	19	18	16	19
Aspidosperma desmanthum	Apocynaceae	NA	451	471	486	476	481	471	473	491
Astrocaryum standleyanum	Arecaceae	L.H.Bailey	248	232	221	205	188	165	152	133
Astronium graveolens	Anacardiaceae	Jacq.	70	64	71	80	79	99	117	132
Bactris barronis	Arecaceae	L.H.Bailey	111	55	20	9	5	5	5	4
Bactris coloniata	Arecaceae	L.H.Bailey	241	84	23	8	3	2	11	54
Bactris coloradonis	Arecaceae	L.H.Bailey	38	17	6	2	0	0	0	0
Bactris major	Arecaceae	Jacq.	469	355	217	176	103	80	111	94
Banara guianensis	Salicaceae	Aubl.	0	0	4	5	1	0	0	0
Beilschmiedia tovarensis	Lauraceae	(Klotzsch & H.Karst. ex Meisn.) Sachiko Nishida	2375	2667	2748	2589	2319	2112	1995	1891
Bertiera guianensis	Rubiaceae	Aubl.	2	2	1	1	0	0	0	0
Alibertia dwyeri	Rubiaceae	Delprete & C.H.Perss.	1	1	1	1	1	1	1	0
Brosimum alicastrum	Moraceae	Sw.	860	892	920	907	896	891	870	857
Brosimum guianense	Moraceae	(Aubl.) Huber	6	6	6	6	5	5	4	4
Calophyllum longifolium	Clusiaceae	Willd.	647	720	891	1000	1131	1427	1821	2174
Capparidastrum frondosum	Capparaceae	(Jacq.) Cornejo & Iltis	3536	3674	3546	3301	2991	2751	2402	2222
Vasconcellea cauliflora	Caricaceae	(Jacq.) A.DC.	0	0	0	0	0	0	2	0
Casearia aculeata	Salicaceae	Jacq.	470	479	483	450	422	434	454	466
Casearia arborea	Salicaceae	(Rich.) Urb.	271	226	189	158	141	126	131	104
