Latin	Family	Authority	1996	1997	1999	2009
Acacia sp.1	Fabaceae		0	0	0	4
Acacia melanoceras	Fabaceae	Beurl.	1	1	0	0
Acalypha diversifolia	Euphorbiaceae	Jacq.	9	7	5	20
Aegiphila panamensis	Lamiaceae	Moldenke	1	0	0	0
Alchornea sp.3	Euphorbiaceae		33	24	22	12
Alchornea latifolia	Euphorbiaceae	Sw.	93	90	94	96
Alibertia edulis	Rubiaceae	(Rich.) A. Rich.	2	2	2	0
Amaioua corymbosa	Rubiaceae	Kunth	89	88	89	83
Andira inermis	Fabaceae	(W. Wright) DC.	41	38	38	37
Annona spraguei	Annonaceae	Saff.	15	9	7	12
Apeiba membranacea	Malvaceae	Spruce ex Benth.	100	71	65	70
Apeiba tibourbou	Malvaceae	Aubl.	14	11	10	16
Aphelandra sinclairiana	Acanthaceae	Nees	1	1	1	0
Ardisia sp.5	Myrsinaceae		17	17	17	19
Ardisia sp.6	Myrsinaceae		1	0	0	0
Ardisia bartlettii	Myrsinaceae	Lundell	54	54	55	46
Ardisia standleyana	Myrsinaceae	P.H. Allen	7	6	6	7
Ardisia guianensis	Myrsinaceae	(Aubl.) Mez	1	0	0	0
Aspidosperma spruceanum	Apocynaceae	Benth. ex Müll.Arg.	356	355	364	368
Bactris barronis	Arecaceae	L.H. Bailey	49	51	48	47
Bactris coloniata	Arecaceae	L. H. Bailey	177	159	145	107
Bactris coloradonis	Arecaceae	L.H. Bailey	42	42	39	42
Bactris maraja	Arecaceae	Mart.	1	1	1	8
Bactris major	Arecaceae	Jacq.	2	2	3	1
Bactris panamensis	Arecaceae	de Nevers & Grayum	43	38	34	14
Beilschmiedia pendula	Lauraceae	(Sw.) Hemsl.	59	57	59	46
Bertiera guianensis	Rubiaceae	Aubl.	3	2	2	0
Besleria robusta	Gesneriaceae	Donn. Sm.	0	0	0	1
Brosimum guianense	Moraceae	(Aubl.) Huber	249	251	256	255
Brosimum utile	Moraceae	(Kunth) Pittier	344	345	357	419
Byrsonima spicata	Malpighiaceae	(Cav.) DC.	8	8	8	12
Caesalpinia coriaria	Fabaceae	(Jacq.) Willd.	0	0	0	2
Calophyllum longifolium	Clusiaceae	Willd.	139	136	142	139
Carapa guianensis	Meliaceae	Aubl.	149	139	143	142
Casearia arborea	Salicaceae	(Rich.) Urb.	3	0	0	0
Casearia commersoniana	Salicaceae	Cambess.	73	71	73	67
Casearia sylvestris	Salicaceae	Sw.	25	23	21	15
Cassipourea elliptica	Rhizophoraceae	(Sw.) Poir.	47	45	46	47
Cecropia heterochroma	Urticaceae	C. C. Berg	0	0	0	15
Cecropia insignis	Urticaceae	Liebm.	14	11	17	30
Cecropia obtusifolia	Urticaceae	Bertol.	0	0	10	7
Cecropia peltata	Urticaceae	L.	2	1	7	5
Cespedesia spathulata	Ochnaceae	(Ruiz & Pav.) Planch.	69	67	62	48
Cestrum megalophyllum	Solanaceae	Dunal	5	3	3	2
Chamaedorea tepejilote	Arecaceae	Liebm. ex Mart.	0	0	0	1
Chamguava schippii	Myrtaceae	(Standl.) Landrum	9	8	9	11
Chrysophyllum argenteum	Sapotaceae	Jacq.	71	68	64	65
Clavija costaricana	Theophrastaceae	Pittier	4	4	4	1
Clidemia sp.1	Melastomataceae		0	1	1	0
Clidemia densiflora	Melastomataceae	(Standl.) Gleason	2	1	0	0
Clidemia dentata	Melastomataceae	Pav. ex D. Don	0	0	0	2
Clidemia discolor	Melastomataceae	(Triana) Cogn.	0	0	0	5
Clusia pratensis	Clusiaceae	Seem.	0	0	0	2
Cyathea petiolata	Cyatheaceae	(Hook.) R.M. Tryon	1	2	2	1
Coccoloba manzinellensis	Polygonaceae	Beurl.	2	2	2	1
Coccoloba padiformis	Polygonaceae	Meisn. in A. DC.	3	3	3	3
Conostegia sp.1	Melastomataceae		1	0	0	0
Conostegia bracteata	Melastomataceae	Triana	46	42	44	36
Conostegia montana	Melastomataceae	(Sw.) D. Don ex DC.	1	1	1	46
Cordia bicolor	Boraginaceae	A. DC.	70	67	63	58
Cordia panamensis	Boraginaceae	Riley	8	8	7	3
Cremastosperma panamense	Annonaceae	Maas	158	153	159	161
Crossopetalum parviflorum	Celastraceae	(Hemsl.) Lundell	4	4	6	7
Cupania scrobiculata	Sapindaceae	Rich.	414	395	410	346
Cupania seemannii	Sapindaceae	Triana & Planch.	0	1	1	1
Cyathea multiflora	Cyatheaceae	Sm.	0	0	0	4
Cymbopetalum lanugipetalum	Annonaceae	Schery	89	85	85	84
Dendropanax arboreus	Araliaceae	(L.) Dec. & Planch	553	537	525	470
Desmopsis panamensis	Annonaceae	(B.L. Rob.) Saff.	19	19	18	15
Diospyros artanthifolia	Ebenaceae	Mart. ex Miq.	59	57	57	65
Discophora guianensis	Stemonuraceae	Miers	17	20	20	26
Dussia atropurpurea	Fabaceae	N. Zamora, R.T. Penn. & C.H. Stirt.	66	62	63	74
Erythrina costaricensis	Fabaceae	Micheli	15	12	12	12
Erythroxylum citrifolium	Erythroxylaceae	A. St.-Hil.	4	4	4	3
Erythroxylum macrophyllum	Erythroxylaceae	Cav.	29	27	26	26
Eugenia sp.5	Myrtaceae		2	2	2	1
Eugenia sp.6	Myrtaceae		81	79	81	78
Eugenia coloradoensis	Myrtaceae	Standl.	9	7	7	6
Euterpe precatoria	Arecaceae	Mart.	144	136	133	114
Faramea luteovirens	Rubiaceae	Standl.	4	4	4	3
Faramea multiflora	Rubiaceae	A. Rich. ex DC.	5	5	4	5
Faramea occidentalis	Rubiaceae	(L.) A. Rich.	30	29	27	25
Ficus sp.3	Moraceae		1	0	0	0
Ficus sp.6	Moraceae		1	0	0	0
Ficus bullenei	Moraceae	I.M. Johnst.	1	1	1	0
Ficus citrifolia	Moraceae	Mill.	5	2	2	2
Ficus insipida	Moraceae	Willd.	0	0	1	2
Ficus maxima	Moraceae	Mill.	4	4	4	2
Ficus nymphaeifolia	Moraceae	Mill.	1	1	1	0
Ficus tonduzii	Moraceae	Standl.	3	3	3	4
Garcinia intermedia	Clusiaceae	(Pittier) Hammel	0	0	0	1
Garcinia madruno	Clusiaceae	(H. B. K.) Hammel	201	199	204	247
Geonoma congesta	Arecaceae	H. Wendl. ex Spruce	616	593	587	629
Geonoma cuneata	Arecaceae	H. Wendl. ex Spruce	256	244	240	260
Geonoma deversa	Arecaceae	(Poit.) Kunth.	2	2	2	1
Geonoma interrupta	Arecaceae	(Ruiz & Pav.) Mart.	11	8	8	16
Grias cauliflora	Lecythidaceae	L.	1	1	1	1
Guarea sherman	Meliaceae		53	53	53	53
Guarea grandifolia	Meliaceae	DC.	1	0	0	0
Guarea guidonia	Meliaceae	(L.) Sleumer	1	1	1	0
Guarea bullata	Meliaceae	Radlk.	3	3	4	4
Guatteria amplifolia	Annonaceae	Triana & Planch.	73	67	63	57
Guatteria dumetorum	Annonaceae	R.E. Fr.	233	219	223	249
Guazuma ulmifolia	Malvaceae	Lam.	0	0	0	1
