species,Family,1982,1985,1990,1995,2000,2005,2010,2015
Abarema macradenia,Fabaceae-mimosoideae,8,8,9,9,9,12,25,36
Acacia melanoceras,Fabaceae-mimosoideae,3,5,9,9,8,19,45,36
Acalypha diversifolia,Euphorbiaceae,1560,1196,815,521,486,740,1017,1437
Acalypha macrostachya,Euphorbiaceae,77,65,42,41,41,50,50,61
Adelia triloba,Euphorbiaceae,231,201,174,127,82,72,78,62
Aegiphila panamensis,Lamiaceae,113,105,69,54,41,26,26,13
Alchornea costaricensis,Euphorbiaceae,224,155,108,72,82,83,185,137
Alchornea latifolia,Euphorbiaceae,0,0,1,1,0,0,0,0
Alibertia edulis,Rubiaceae,302,340,375,378,357,372,417,455
Allophylus psilospermus,Sapindaceae,145,139,126,96,89,75,77,63
Alseis blackiana,Rubiaceae,6755,7195,7476,7194,6856,6706,6856,6975
Amaioua corymbosa,Rubiaceae,27,27,26,25,23,20,17,16
Anacardium excelsum,Anacardiaceae,5,3,2,3,2,4,5,4
Anaxagorea panamensis,Annonaceae,471,473,588,698,748,794,883,892
Andira inermis,Fabaceae-papilionoideae,277,272,274,273,256,245,223,213
Annona acuminata,Annonaceae,506,523,567,543,499,485,500,492
Annona hayesii,Annonaceae,1,1,1,1,0,0,0,0
Annona spraguei,Annonaceae,39,53,120,149,108,105,139,75
Apeiba membranacea,Malvaceae,150,115,92,57,47,84,107,78
Apeiba tibourbou,Malvaceae,20,16,11,8,10,22,32,23
Aphelandra sinclairiana,Acanthaceae,13,10,7,7,6,8,8,10
Appunia seibertii,Rubiaceae,1,1,3,3,3,2,2,4
Ardisia bartlettii,Myrsinaceae,3,3,1,3,6,5,7,6
Ardisia guianensis,Myrsinaceae,22,16,18,20,19,18,16,19
Ardisia standleyana,Myrsinaceae,73,76,82,86,98,103,113,131
Aspidosperma spruceanum,Apocynaceae,405,420,434,425,425,414,412,429
Astrocaryum standleyanum,Arecaceae,15,7,4,4,3,5,4,2
Astronium graveolens,Anacardiaceae,31,25,32,38,40,60,79,96
Bactris barronis,Arecaceae,111,55,20,9,5,5,5,4
Bactris coloniata,Arecaceae,241,84,23,8,3,2,11,54
Bactris coloradonis,Arecaceae,38,17,6,2,0,0,0,0
Bactris major,Arecaceae,469,355,217,176,103,80,111,94
Banara guianensis,Salicaceae,0,0,4,4,1,0,0,0
Beilschmiedia pendula,Lauraceae,2067,2363,2452,2295,2038,1843,1743,1657
Bertiera guianensis,Rubiaceae,2,2,1,1,0,0,0,0
Borojoa panamensis,Rubiaceae,1,1,1,1,1,1,1,0
Brosimum alicastrum,Moraceae,676,712,735,719,702,686,668,652
Brosimum guianense,Moraceae,5,5,5,5,5,5,4,4
Calophyllum longifolium,Clusiaceae,592,666,831,945,1081,1383,1772,2127
Capparis frondosa,Capparaceae,3536,3673,3546,3301,2991,2751,2402,2222
Casearia aculeata,Salicaceae,446,453,460,427,403,420,440,456
Casearia arborea,Salicaceae,117,95,68,55,48,49,72,58
Casearia commersoniana,Salicaceae,19,20,18,18,18,21,20,17
Casearia guianensis,Salicaceae,14,16,18,17,14,13,12,12
Casearia sylvestris,Salicaceae,173,164,152,125,99,87,90,97
Cassipourea elliptica,Rhizophoraceae,700,779,868,906,924,976,996,977
Cavanillesia platanifolia,Malvaceae,4,2,3,4,4,8,19,19
Cecropia insignis,Urticaceae,235,195,141,114,433,802,523,948
Cecropia longipes,Urticaceae,0,0,0,0,7,11,9,9
Cecropia obtusifolia,Urticaceae,23,14,26,25,66,144,137,156
Cedrela odorata,Meliaceae,3,0,7,4,6,8,8,4
Ceiba pentandra,Malvaceae,29,26,23,9,16,23,20,25
Celtis schippii,Cannabaceae,141,129,117,97,83,73,59,46
Cespedesia spathulata,Ochnaceae,4,3,3,2,1,1,1,1
