species,Family,1994,1997,1998
Acacia melanoceras,Fabaceae-mimosoideae,23,19,19
Acalypha diversifolia,Euphorbiaceae,14,18,22
Acalypha macrostachya,Euphorbiaceae,1,2,2
Adelia triloba,Euphorbiaceae,4,5,5
Aegiphila panamensis,Lamiaceae,2,1,1
Albizia adinocephala,Fabaceae-mimosoideae,46,47,51
Albizia procera,Fabaceae-mimosoideae,2,2,2
Alchornea costaricensis,Euphorbiaceae,1,0,0
Alibertia edulis,Rubiaceae,253,228,224
Alseis blackiana,Rubiaceae,2,1,1
Amaioua corymbosa,Rubiaceae,12,13,13
Anacardium excelsum,Anacardiaceae,3,3,2
Andira inermis,Fabaceae-papilionoideae,2,1,1
Annona hayesii,Annonaceae,109,107,111
Annona spraguei,Annonaceae,0,2,3
Aphelandra scabra,Acanthaceae,8,6,6
Ardisia revoluta,Myrsinaceae,1,1,1
Astronium graveolens,Anacardiaceae,236,218,224
Bactris barronis,Arecaceae,12,12,13
Bactris coloradonis,Arecaceae,1,1,1
Bactris major,Arecaceae,84,68,67
Banara guianensis,Salicaceae,0,1,1
Brosimum alicastrum,Moraceae,473,480,497
Bunchosia odorata,Malpighiaceae,2,2,5
Bursera simaruba,Burseraceae,14,12,12
Calycophyllum candidissimum,Rubiaceae,65,55,53
Capparis frondosa,Capparaceae,2,3,3
Casearia arborea,Salicaceae,1,1,1
Casearia arguta,Salicaceae,1,1,1
Casearia commersoniana,Salicaceae,25,25,24
Casearia guianensis,Salicaceae,23,23,24
Casearia sylvestris,Salicaceae,15,14,15
Cassipourea elliptica,Rhizophoraceae,6,6,7
Cavanillesia platanifolia,Malvaceae,17,20,20
Cecropia longipes,Urticaceae,1,7,5
Cecropia obtusifolia,Urticaceae,0,9,9
Cecropia peltata,Urticaceae,0,3,3
Cedrela odorata,Meliaceae,3,1,1
Chomelia spinosa,Rubiaceae,2,2,1
Chrysophyllum argenteum,Sapotaceae,0,1,1
Chrysophyllum cainito,Sapotaceae,67,64,64
Cinnamomum triplinerve,Lauraceae,4,5,5
Clavija mezii,Theophrastaceae,171,164,172
Coccoloba padiformis,Polygonaceae,51,53,60
Cojoba rufescens,Fabaceae-mimosoideae,28,17,20
Colubrina heteroneura,Rhamnaceae,1,1,1
Copaifera aromatica,Fabaceae-caesalpinioideae,28,28,30
Cordia alliodora,Boraginaceae,5,3,4
Coussarea curvigemmia,Rubiaceae,599,588,603
Cryosophila warscewiczii,Arecaceae,0,1,2
Cupania cinerea,Sapindaceae,1,1,1
Cupania latifolia,Sapindaceae,1,0,0
Cupania rufescens,Sapindaceae,7,8,8
Cupania scrobiculata,Sapindaceae,2,2,0
Cupania seemannii,Sapindaceae,155,149,154
Dalbergia retusa,Fabaceae-papilionoideae,3,3,3
Dendropanax arboreus,Araliaceae,10,10,11
Diphysa americana,Fabaceae-papilionoideae,1,1,1
Erythroxylum panamense,Erythroxylaceae,4,3,3
Eugenia coloradoensis,Myrtaceae,17,20,22
Eugenia principium,Myrtaceae,647,710,782
Faramea occidentalis,Rubiaceae,563,591,618
Ficus bullenei,Moraceae,1,1,1
Ficus insipida,Moraceae,3,2,3
Ficus maxima,Moraceae,1,1,1
Fissicalyx fendleri,Fabaceae-papilionoideae,1,1,1
Genipa americana,Rubiaceae,18,18,17
Guarea glabra,Meliaceae,148,133,132
Guarea grandifolia,Meliaceae,1,1,1
Guazuma ulmifolia,Malvaceae,1,1,1
Heisteria concinna,Erythropalaceae,172,235,287
Hirtella americana,Chrysobalanaceae,33,34,36
Hirtella racemosa,Chrysobalanaceae,111,107,109
Hymenaea courbaril,Fabaceae-caesalpinioideae,4,4,3
Inga laurina,Fabaceae-mimosoideae,33,27,23
Inga punctata,Fabaceae-mimosoideae,1,2,1
Inga vera,Fabaceae-mimosoideae,42,35,38
Ixora floribunda,Rubiaceae,90,94,93
Jacaranda caucana,Bignoniaceae,1,1,1
Lacistema aggregatum,Lacistemataceae,45,47,50
Lafoensia punicifolia,Lythraceae,1,1,1
Lindackeria laurina,Achariaceae,1,1,1
Lonchocarpus heptaphyllus,Fabaceae-papilionoideae,2,2,2
Luehea seemannii,Malvaceae,21,15,16
Luehea speciosa,Malvaceae,1,0,0
Maclura tinctoria,Moraceae,8,7,8
Macrocnemum roseum,Rubiaceae,34,30,31
Mangifera indica,Anacardiaceae,2,2,2
Margaritaria nobilis,Phyllanthaceae,5,6,5
