species,Family,1994,1997,1998
Adelia triloba,Euphorbiaceae,1,1,1
Albizia adinocephala,Fabaceae-mimosoideae,9,6,6
Alchornea costaricensis,Euphorbiaceae,1,1,1
Alseis blackiana,Rubiaceae,2,3,3
Anacardium excelsum,Anacardiaceae,125,121,122
Andira inermis,Fabaceae-papilionoideae,14,14,14
Annona purpurea,Annonaceae,4,1,1
Annona spraguei,Annonaceae,5,5,5
Ardisia revoluta,Myrsinaceae,2,2,2
Astronium graveolens,Anacardiaceae,36,37,36
Attalea butyracea,Arecaceae,35,30,31
Brosimum alicastrum,Moraceae,30,35,36
Bunchosia odorata,Malpighiaceae,1,1,1
Bursera simaruba,Burseraceae,13,14,11
Calycolpus warszewiczianus,Myrtaceae,1,1,1
Calycophyllum candidissimum,Rubiaceae,96,100,102
Casearia commersoniana,Salicaceae,5,3,3
Casearia guianensis,Salicaceae,3,2,2
Casearia sylvestris,Salicaceae,0,1,1
Cassia moschata,Fabaceae-caesalpinioideae,1,1,1
Cassipourea elliptica,Rhizophoraceae,1,1,1
Cavanillesia platanifolia,Malvaceae,38,36,34
Cecropia longipes,Urticaceae,5,1,2
Cecropia obtusifolia,Urticaceae,1,0,0
Cecropia peltata,Urticaceae,1,0,0
Cedrela odorata,Meliaceae,6,6,6
Chrysophyllum cainito,Sapotaceae,6,5,6
Cinnamomum triplinerve,Lauraceae,1,0,0
Coccoloba padiformis,Polygonaceae,4,5,5
Cojoba rufescens,Fabaceae-mimosoideae,2,3,2
Colubrina glandulosa,Rhamnaceae,2,2,2
Copaifera aromatica,Fabaceae-caesalpinioideae,5,5,5
Cordia alliodora,Boraginaceae,2,1,1
Coussarea curvigemmia,Rubiaceae,10,15,13
Cryosophila warscewiczii,Arecaceae,2,2,2
Cupania seemannii,Sapindaceae,4,4,3
Dalbergia retusa,Fabaceae-papilionoideae,8,8,8
Dendropanax arboreus,Araliaceae,4,4,4
Diphysa americana,Fabaceae-papilionoideae,1,1,1
Elaeis oleifera,Arecaceae,31,30,31
Eugenia coloradoensis,Myrtaceae,3,3,3
Eugenia hiraeifolia,Myrtaceae,4,4,4
Faramea occidentalis,Rubiaceae,15,16,16
Ficus bullenei,Moraceae,1,1,1
Ficus citrifolia,Moraceae,1,1,1
Ficus insipida,Moraceae,6,6,6
Ficus maxima,Moraceae,1,1,1
Guarea glabra,Meliaceae,45,44,42
Guazuma ulmifolia,Malvaceae,1,1,1
Heisteria concinna,Erythropalaceae,13,15,15
Hirtella americana,Chrysobalanaceae,2,2,2
Hymenaea courbaril,Fabaceae-caesalpinioideae,1,1,1
Inga laurina,Fabaceae-mimosoideae,9,10,10
Inga vera,Fabaceae-mimosoideae,2,1,1
Ixora floribunda,Rubiaceae,3,4,5
Jacaranda caucana,Bignoniaceae,1,1,1
Lacistema aggregatum,Lacistemataceae,2,2,2
Luehea seemannii,Malvaceae,2,4,4
Luehea speciosa,Malvaceae,1,1,1
Maclura tinctoria,Moraceae,1,1,1
Macrocnemum roseum,Rubiaceae,5,7,7
Mangifera indica,Anacardiaceae,1,1,1
Matayba glaberrima,Sapindaceae,1,1,1
Myrcia gatunensis,Myrtaceae,0,1,1
Myriocarpa longipes,Urticaceae,1,1,1
Nectandra lineata,Lauraceae,1,1,1
Nectandra martinicensis,Lauraceae,1,1,2
Neea delicatula,Nyctaginaceae,3,3,3
Neea sp.2,Nyctaginaceae,1,1,1
Ochroma pyramidale,Malvaceae,1,1,1
Ormosia macrocalyx,Fabaceae-papilionoideae,2,2,2
Pachira quinata,Malvaceae,1,1,1
Pachira sessilis,Malvaceae,1,1,1
Picramnia latifolia,Picramniaceae,0,1,1
Piper reticulatum,Piperaceae,0,1,1
Pittoniotis trichantha,Rubiaceae,63,61,57
Posoqueria latifolia,Rubiaceae,16,17,19
Pouteria campechiana,Sapotaceae,13,13,13
Protium tenuifolium,Burseraceae,35,37,38
Pseudobombax septenatum,Malvaceae,9,8,9
Rauvolfia littoralis,Apocynaceae,2,2,2
Sapindus saponaria,Sapindaceae,1,1,1
Sloanea terniflora,Elaeocarpaceae,2,2,2
Sorocea affinis,Moraceae,1,1,1
Spondias mombin,Anacardiaceae,15,14,13
Spondias radlkoferi,Anacardiaceae,2,2,2
Stemmadenia grandiflora,Apocynaceae,3,3,3
Sterculia apetala,Malvaceae,2,2,2
Swartzia simplex,Fabaceae-papilionoideae,39,40,41
Swietenia macrophylla,Meliaceae,1,1,1
Tabebuia rosea,Bignoniaceae,3,3,3
Terminalia amazonia,Combretaceae,1,1,1
Terminalia oblonga,Combretaceae,1,1,1
Tetrathylacium johansenii,Salicaceae,1,1,1
Trichilia hirta,Meliaceae,13,12,12
Trichilia pleeana,Meliaceae,184,182,179
Trichospermum galeottii,Malvaceae,0,1,1
Triplaris cumingiana,Polygonaceae,17,19,20
Vitex cooperi,Lamiaceae,3,3,3
Xylopia frutescens,Annonaceae,2,2,2
Zuelania guidonia,Salicaceae,4,3,3
