species,Family,1996,1997,1999,2009,2016
Abarema barbouriana,Fabaceae-mimosoideae,5,7,7,5,5
Acacia melanoceras,Fabaceae-mimosoideae,1,1,0,0,0
Acalypha diversifolia,Euphorbiaceae,9,7,5,20,14
Aegiphila panamensis,Lamiaceae,1,0,0,0,0
Alchornea latifolia,Euphorbiaceae,77,72,75,79,66
Alibertia edulis,Rubiaceae,2,2,2,0,0
Amaioua corymbosa,Rubiaceae,83,83,84,78,83
Andira inermis,Fabaceae-papilionoideae,31,28,28,27,25
Annona spraguei,Annonaceae,11,6,5,12,13
Apeiba membranacea,Malvaceae,61,36,33,52,59
Apeiba tibourbou,Malvaceae,8,6,5,16,8
Aphelandra sinclairiana,Acanthaceae,1,1,1,0,0
Ardisia bartlettii,Myrsinaceae,54,54,55,46,37
Ardisia guianensis,Myrsinaceae,1,0,0,0,0
Ardisia pellucida,Myrsinaceae,0,0,0,2,3
Ardisia sp.6,Myrsinaceae,1,0,0,0,0
Ardisia standleyana,Myrsinaceae,7,6,6,7,8
Aspidosperma spruceanum,Apocynaceae,276,276,285,285,292
Aulomyrcia zetekiana,Myrtaceae,51,50,49,47,38
Bactris barronis,Arecaceae,59,61,58,57,61
Bactris coloniata,Arecaceae,177,160,146,110,163
Bactris coloradonis,Arecaceae,32,32,29,30,25
Bactris major,Arecaceae,1,1,2,0,1
Bactris maraja,Arecaceae,1,1,1,8,7
Bactris panamensis,Arecaceae,43,38,34,14,16
Beilschmiedia pendula,Lauraceae,46,45,47,34,28
Bertiera guianensis,Rubiaceae,3,2,2,0,0
Besleria robusta,Gesneriaceae,0,0,0,1,0
Brosimum guianense,Moraceae,224,224,230,227,235
Brosimum utile,Moraceae,183,184,199,267,339
Byrsonima spicata,Malpighiaceae,3,3,3,7,6
Caesalpinia coriaria,Fabaceae-caesalpinioideae,0,0,0,2,1
Calophyllum longifolium,Clusiaceae,110,107,113,117,105
Carapa guianensis,Meliaceae,130,120,124,118,106
Casearia arborea,Salicaceae,3,0,0,0,1
Casearia commersoniana,Salicaceae,60,60,60,52,53
Casearia sylvestris,Salicaceae,17,17,15,12,10
Cassipourea elliptica,Rhizophoraceae,39,38,39,39,41
Castilla elastica,Moraceae,1,1,1,1,1
Cecropia heterochroma,Urticaceae,0,0,0,14,11
Cecropia hispidissima,Urticaceae,0,0,0,1,5
Cecropia insignis,Urticaceae,6,4,10,19,32
Cecropia obtusifolia,Urticaceae,0,0,10,7,9
Cecropia peltata,Urticaceae,2,1,7,5,0
Cespedesia spathulata,Ochnaceae,42,40,36,26,29
Cestrum megalophyllum,Solanaceae,5,3,3,2,6
Chamaedorea tepejilote,Arecaceae,0,0,0,1,1
Chamguava schippii,Myrtaceae,10,9,10,11,12
Chrysophyllum argenteum,Sapotaceae,60,58,54,56,53
Cinnamomum triplinerve,Lauraceae,18,16,15,16,13
Clavija costaricana,Theophrastaceae,4,4,4,1,4
Clidemia densiflora,Melastomataceae,2,1,0,0,0
Clidemia dentata,Melastomataceae,0,0,0,2,0
Clidemia discolor,Melastomataceae,0,0,0,5,1
Clidemia sp.1,Melastomataceae,0,1,1,0,0
Clusia pratensis,Clusiaceae,0,0,0,2,1
Coccoloba manzinellensis,Polygonaceae,2,2,2,1,1
Coccoloba padiformis,Polygonaceae,2,2,2,3,3
Conostegia bracteata,Melastomataceae,46,42,44,36,34
