species,Family,1996,1997,1999,2009,2016
Abarema barbouriana,Fabaceae-mimosoideae,5,5,5,5,5
Alchornea costaricensis,Euphorbiaceae,1,1,1,1,1
Alchornea latifolia,Euphorbiaceae,15,17,18,16,15
Amaioua corymbosa,Rubiaceae,6,5,5,5,5
Andira inermis,Fabaceae-papilionoideae,10,10,10,10,8
Annona spraguei,Annonaceae,4,3,2,0,0
Apeiba membranacea,Malvaceae,39,35,32,19,20
Apeiba tibourbou,Malvaceae,6,5,5,0,4
Aspidosperma spruceanum,Apocynaceae,80,79,79,83,87
Bactris coloniata,Arecaceae,1,0,0,0,0
Beilschmiedia pendula,Lauraceae,13,12,12,12,13
Brosimum guianense,Moraceae,25,27,26,28,35
Brosimum utile,Moraceae,161,161,158,152,135
Byrsonima spicata,Malpighiaceae,5,5,5,5,5
Calophyllum longifolium,Clusiaceae,29,29,29,22,21
Carapa guianensis,Meliaceae,21,21,21,25,29
Casearia commersoniana,Salicaceae,12,11,12,14,13
Casearia sylvestris,Salicaceae,8,6,6,3,4
Cassipourea elliptica,Rhizophoraceae,8,7,7,8,6
Cecropia garciae,Urticaceae,0,0,0,0,1
Cecropia hispidissima,Urticaceae,0,0,0,0,1
Cecropia insignis,Urticaceae,8,7,7,11,10
Cecropia obtusifolia,Urticaceae,0,0,0,0,1
Cecropia peltata,Urticaceae,0,0,0,0,1
Cespedesia spathulata,Ochnaceae,27,27,26,22,21
Chrysophyllum argenteum,Sapotaceae,11,10,10,9,9
Cinnamomum triplinerve,Lauraceae,2,2,2,3,7
Coccoloba padiformis,Polygonaceae,1,1,1,0,0
Conostegia montana,Melastomataceae,2,1,1,1,2
Cordia bicolor,Boraginaceae,40,40,39,32,28
Cupania scrobiculata,Sapindaceae,20,18,18,16,23
Dendropanax arboreus,Araliaceae,70,67,69,57,58
Diospyros artanthifolia,Ebenaceae,7,8,8,13,14
Dussia atropurpurea,Fabaceae-papilionoideae,27,27,27,23,20
Erythrina costaricensis,Fabaceae-papilionoideae,0,0,0,1,0
