species,Family,1982,1985,1990,1995,2000,2005,2010,2015
Abarema macradenia,Fabaceae-mimosoideae,10,10,11,12,12,16,32,44
Acacia melanoceras,Fabaceae-mimosoideae,5,7,11,12,10,21,48,44
Acalypha diversifolia,Euphorbiaceae,1562,1273,1072,685,576,850,1142,1605
Acalypha macrostachya,Euphorbiaceae,79,68,48,42,43,52,53,72
Adelia triloba,Euphorbiaceae,346,321,290,227,167,145,146,133
Aegiphila panamensis,Lamiaceae,136,129,99,80,62,46,40,26
Alchornea costaricensis,Euphorbiaceae,385,315,271,230,231,230,320,274
Alchornea latifolia,Euphorbiaceae,2,2,3,2,2,2,1,0
Alibertia edulis,Rubiaceae,304,345,393,399,378,394,450,479
Allophylus psilospermus,Sapindaceae,175,176,164,131,114,105,116,104
Alseis blackiana,Rubiaceae,7601,8356,9139,9053,8812,8774,8982,9154
Amaioua corymbosa,Rubiaceae,29,29,30,27,25,24,19,19
Anacardium excelsum,Anacardiaceae,28,27,24,25,24,25,26,24
Anaxagorea panamensis,Annonaceae,471,485,621,728,781,825,932,944
Andira inermis,Fabaceae-papilionoideae,317,323,335,322,305,300,287,275
Annona acuminata,Annonaceae,506,540,612,602,548,532,556,560
Annona hayesii,Annonaceae,1,1,1,1,0,0,0,0
Annona spraguei,Annonaceae,57,72,144,179,133,122,148,89
Apeiba hybrid,Malvaceae,1,1,0,0,0,0,0,0
Apeiba membranacea,Malvaceae,388,347,333,294,271,290,309,272
Apeiba tibourbou,Malvaceae,45,40,33,29,30,38,50,46
Aphelandra sinclairiana,Acanthaceae,13,10,8,8,6,9,9,10
Appunia seibertii,Rubiaceae,1,1,3,3,3,2,2,4
Ardisia bartlettii,Myrsinaceae,3,3,3,4,6,6,8,7
Ardisia guianensis,Myrsinaceae,22,19,24,23,20,22,21,22
Ardisia standleyana,Myrsinaceae,74,78,84,92,102,112,123,141
Aspidosperma spruceanum,Apocynaceae,451,482,511,508,514,514,524,542
Astrocaryum standleyanum,Arecaceae,248,233,221,205,188,166,152,133
Astronium graveolens,Anacardiaceae,70,66,74,83,82,103,120,135
Attalea butyracea,Arecaceae,44,40,36,33,30,34,32,32
Bactris barronis,Arecaceae,111,59,56,46,25,21,15,14
Bactris coloniata,Arecaceae,241,85,64,39,20,20,25,67
Bactris coloradonis,Arecaceae,38,17,13,9,2,3,3,2
Bactris major,Arecaceae,469,358,275,197,138,111,120,111
Banara guianensis,Salicaceae,0,0,4,5,1,0,0,0
Beilschmiedia pendula,Lauraceae,2375,2780,3033,2894,2615,2371,2251,2131
Bertiera guianensis,Rubiaceae,2,2,1,1,0,0,0,0
Borojoa panamensis,Rubiaceae,1,1,1,1,1,1,1,0
Brosimum alicastrum,Moraceae,860,901,936,928,904,897,876,862
Brosimum guianense,Moraceae,6,6,6,6,5,5,4,4
