species,Family,1994,1997,1998
Acacia melanoceras,Fabaceae-mimosoideae,23,31,31
Acalypha diversifolia,Euphorbiaceae,24,32,31
Acalypha macrostachya,Euphorbiaceae,1,2,3
Adelia triloba,Euphorbiaceae,5,7,7
Aegiphila panamensis,Lamiaceae,2,1,1
Albizia adinocephala,Fabaceae-mimosoideae,56,55,61
Albizia procera,Fabaceae-mimosoideae,2,3,3
Alchornea costaricensis,Euphorbiaceae,2,1,1
Alibertia edulis,Rubiaceae,340,311,312
Alseis blackiana,Rubiaceae,4,4,4
Amaioua corymbosa,Rubiaceae,13,14,13
Anacardium excelsum,Anacardiaceae,133,141,139
Andira inermis,Fabaceae-papilionoideae,21,17,19
Annona hayesii,Annonaceae,234,232,258
Annona purpurea,Annonaceae,5,1,1
Annona spraguei,Annonaceae,5,7,8
Aphelandra scabra,Acanthaceae,9,8,8
Ardisia revoluta,Myrsinaceae,4,4,4
Astronium graveolens,Anacardiaceae,281,276,277
Attalea butyracea,Arecaceae,35,30,31
Bactris barronis,Arecaceae,21,23,25
Bactris coloradonis,Arecaceae,3,3,3
Bactris major,Arecaceae,278,249,228
Banara guianensis,Salicaceae,0,1,2
Brosimum alicastrum,Moraceae,514,528,553
Bunchosia odorata,Malpighiaceae,3,3,6
Bursera simaruba,Burseraceae,28,31,25
Calycolpus warszewiczianus,Myrtaceae,2,2,2
Calycophyllum candidissimum,Rubiaceae,224,204,207
Capparis frondosa,Capparaceae,5,6,6
Casearia arborea,Salicaceae,2,2,1
Casearia arguta,Salicaceae,1,1,1
Casearia commersoniana,Salicaceae,31,29,28
Casearia guianensis,Salicaceae,39,34,35
Casearia sylvestris,Salicaceae,22,22,23
Cassia moschata,Fabaceae-caesalpinioideae,1,1,1
Cassipourea elliptica,Rhizophoraceae,7,7,8
Cavanillesia platanifolia,Malvaceae,55,79,77
Cecropia longipes,Urticaceae,6,9,7
Cecropia obtusifolia,Urticaceae,1,10,9
Cecropia peltata,Urticaceae,1,3,3
Cedrela odorata,Meliaceae,9,8,8
Chomelia spinosa,Rubiaceae,2,2,1
Chrysophyllum argenteum,Sapotaceae,0,1,1
Chrysophyllum cainito,Sapotaceae,79,73,73
Cinnamomum triplinerve,Lauraceae,10,7,7
Clavija mezii,Theophrastaceae,240,235,259
Coccoloba padiformis,Polygonaceae,84,88,104
Cojoba rufescens,Fabaceae-mimosoideae,36,32,36
Colubrina glandulosa,Rhamnaceae,3,3,3
Colubrina heteroneura,Rhamnaceae,2,3,3
Copaifera aromatica,Fabaceae-caesalpinioideae,34,34,36
Cordia alliodora,Boraginaceae,7,4,5
Coussarea curvigemmia,Rubiaceae,859,839,895
Cryosophila warscewiczii,Arecaceae,2,3,4
Cupania cinerea,Sapindaceae,1,1,1
Cupania latifolia,Sapindaceae,1,0,0
Cupania rufescens,Sapindaceae,7,8,8
Cupania scrobiculata,Sapindaceae,2,2,0
Cupania seemannii,Sapindaceae,333,325,343
Dalbergia retusa,Fabaceae-papilionoideae,11,11,11
Dendropanax arboreus,Araliaceae,14,14,15
Diphysa americana,Fabaceae-papilionoideae,2,2,2
Elaeis oleifera,Arecaceae,31,31,31
Erythroxylum panamense,Erythroxylaceae,4,3,3
Eugenia coloradoensis,Myrtaceae,21,24,27
Eugenia hiraeifolia,Myrtaceae,4,4,4
Eugenia principium,Myrtaceae,852,948,1089
Faramea occidentalis,Rubiaceae,679,706,747
Ficus bullenei,Moraceae,3,2,2
Ficus citrifolia,Moraceae,1,2,1
Ficus insipida,Moraceae,9,14,10
Ficus maxima,Moraceae,4,2,3
Fissicalyx fendleri,Fabaceae-papilionoideae,1,1,1
Genipa americana,Rubiaceae,20,20,19
Guarea glabra,Meliaceae,212,195,194
Guarea grandifolia,Meliaceae,1,1,1
Guazuma ulmifolia,Malvaceae,3,3,3
Heisteria concinna,Erythropalaceae,196,265,317
Hirtella americana,Chrysobalanaceae,40,41,44
Hirtella racemosa,Chrysobalanaceae,150,153,156
Hymenaea courbaril,Fabaceae-caesalpinioideae,5,5,4
Inga laurina,Fabaceae-mimosoideae,46,40,39
Inga punctata,Fabaceae-mimosoideae,1,2,2
Inga vera,Fabaceae-mimosoideae,51,49,53
Ixora floribunda,Rubiaceae,150,143,164
Jacaranda caucana,Bignoniaceae,3,2,2
Lacistema aggregatum,Lacistemataceae,54,54,56
Lafoensia punicifolia,Lythraceae,1,1,1
Lindackeria laurina,Achariaceae,1,1,1
Lonchocarpus heptaphyllus,Fabaceae-papilionoideae,2,2,2
Luehea seemannii,Malvaceae,29,23,22
Luehea speciosa,Malvaceae,2,1,1
Maclura tinctoria,Moraceae,10,11,12
Macrocnemum roseum,Rubiaceae,46,47,47
Mangifera indica,Anacardiaceae,3,3,3
Margaritaria nobilis,Phyllanthaceae,6,6,6
Matayba glaberrima,Sapindaceae,6,6,6
Miconia argentea,Melastomataceae,4,4,4
Miconia impetiolaris,Melastomataceae,3,5,6
Miconia poeppigii,Melastomataceae,3,4,3
Myrcia gatunensis,Myrtaceae,37,34,31
Myriocarpa longipes,Urticaceae,2,1,1
Myrospermum frutescens,Fabaceae-papilionoideae,1,0,0
Nectandra lineata,Lauraceae,3,4,4
Nectandra martinicensis,Lauraceae,34,43,48
Neea delicatula,Nyctaginaceae,53,54,56
Neea sp.2,Nyctaginaceae,1,1,1
Ochroma pyramidale,Malvaceae,1,3,3
Ocotea rubrinervis,Lauraceae,15,19,23
Oenocarpus mapora,Arecaceae,5,5,6
Ormosia macrocalyx,Fabaceae-papilionoideae,15,16,18
Ouratea lucens,Ochnaceae,92,92,98
Pachira quinata,Malvaceae,1,1,2
Pachira sessilis,Malvaceae,6,6,6
Palicourea guianensis,Rubiaceae,3,3,2
Pavonia dasypetala,Malvaceae,3,5,3
Picramnia latifolia,Picramniaceae,100,96,105
Piper aequale,Piperaceae,31,23,24
Piper arboreum,Piperaceae,9,12,13
Piper colonense,Piperaceae,16,20,18
Piper cordulatum,Piperaceae,1,3,3
Piper grande,Piperaceae,1,1,1
Piper hispidum,Piperaceae,2,2,2
Piper reticulatum,Piperaceae,297,317,319
Pittoniotis trichantha,Rubiaceae,99,93,86
Posoqueria latifolia,Rubiaceae,161,167,171
Pouteria campechiana,Sapotaceae,61,61,59
Prockia crucis,Salicaceae,3,1,1
Protium tenuifolium,Burseraceae,631,698,772
Pseudobombax septenatum,Malvaceae,14,17,17
Psychotria acuminata,Rubiaceae,0,1,3
Psychotria grandis,Rubiaceae,9,11,10
Psychotria horizontalis,Rubiaceae,8,9,11
Psychotria marginata,Rubiaceae,0,0,1
Rauvolfia littoralis,Apocynaceae,7,5,5
Rinorea lindeniana,Violaceae,102,93,108
Rosenbergiodendron formosum,Rubiaceae,34,34,39
Sapindus saponaria,Sapindaceae,3,4,4
Schefflera morototoni,Araliaceae,1,1,2
Senna dariensis,Fabaceae-caesalpinioideae,1,1,1
Siparuna pauciflora,Siparunaceae,3,5,6
Sloanea terniflora,Elaeocarpaceae,48,41,43
Solanum cordovense,Solanaceae,0,4,1
Solanum hayesii,Solanaceae,0,5,1
Sorocea affinis,Moraceae,510,577,634
Spondias mombin,Anacardiaceae,17,16,16
Spondias radlkoferi,Anacardiaceae,7,12,11
Stemmadenia grandiflora,Apocynaceae,12,11,11
Sterculia apetala,Malvaceae,12,14,16
Stylogyne turbacensis,Myrsinaceae,59,53,54
Swartzia simplex,Fabaceae-papilionoideae,234,237,262
Swietenia macrophylla,Meliaceae,4,4,4
Tabebuia rosea,Bignoniaceae,20,19,19
Terminalia amazonia,Combretaceae,2,10,6
Terminalia oblonga,Combretaceae,3,4,4
Ternstroemia tepezapote,Pentaphylacaceae,1,0,0
Tetrathylacium johansenii,Salicaceae,3,17,12
